POST_ID,TITLE,YEAR,DATE,ATTENDANCE,FUNDRAISER,URL
108202,"LUCK Be A LADY",2005,in 20,,,https://dodgeball.livejournal.com/108202.html
105111,"5 CANDLES & 1 For Good Luck",2005,September 3, 2005,,,https://dodgeball.livejournal.com/105111.html
44268,">>> SURVIVAL Saturday",2006,November 10,,,https://dodgeball.livejournal.com/44268.html
17664,">>> Directions for DIANA'S PARTY",2006,by 6,,,https://dodgeball.livejournal.com/17664.html
117128,"NOTHIN' But NET",2007,the 19,,,https://dodgeball.livejournal.com/117128.html
103103,"Family, Friends, and FOES",2007,a 50,,,https://dodgeball.livejournal.com/103103.html
58461,">>> I 17 (Continued)",2007,of
20,,,https://dodgeball.livejournal.com/58461.html
52982,">>> The Battle of KATHRYN",2007,November 27, 2004,,,https://dodgeball.livejournal.com/52982.html
50981,">>> DOVER Taken OVER",2007,played 74,,,https://dodgeball.livejournal.com/50981.html
101180,"In GOD'S Hands",2008,GOLDRUSH 20,,,https://dodgeball.livejournal.com/101180.html
102231,"MAN Overboard!",2009,September 3, 2005,,,https://dodgeball.livejournal.com/102231.html
116896,"... There's NOTHING You & I WON'T DO ...",2010,August 22,,,https://dodgeball.livejournal.com/116896.html
114976,"CALL Answered, Message Received",2010,The 13,,,https://dodgeball.livejournal.com/114976.html
112510,"SOUTH For The WINTER",2010,approximately 2,,,https://dodgeball.livejournal.com/112510.html
106400,"The PIE To DIE For",2010,rare 3,22,,https://dodgeball.livejournal.com/106400.html
105579,"PAPERS To File, PIES To Throw",2010,glorious 5,,,https://dodgeball.livejournal.com/105579.html
102623,"HELLO AGAIN!",2010,of 20,,,https://dodgeball.livejournal.com/102623.html
160543,"The 20YA | Full Event Preview",2011,historic 20,,,https://dodgeball.livejournal.com/160543.html
148076,"FOUNDERS' DAY Photos & Results",2011,January 15,,,https://dodgeball.livejournal.com/148076.html
126630,"Turkey TITLE Up For Grabs",2011,November 21, 2015,,,https://dodgeball.livejournal.com/126630.html
117852,"Winner Take 'W'ALL Of It",2011,astounding 19,,,https://dodgeball.livejournal.com/117852.html
117368,"CARVING Our Own History",2011,incredible 19,,,https://dodgeball.livejournal.com/117368.html
112216,"The FINAL FLIGHT ..",2011,Four
4,,,https://dodgeball.livejournal.com/112216.html
111201,"There's LESS Room On The CAKE",2011,Retrospective
20,,,https://dodgeball.livejournal.com/111201.html
110346,"SLAM JAM'D",2011,to 1,23,,https://dodgeball.livejournal.com/110346.html
108409,"If This Was JUDGMENT DAY . . .",2011,arguably 20,18,,https://dodgeball.livejournal.com/108409.html
107594,"INITIATION DAY",2011,November 6,,,https://dodgeball.livejournal.com/107594.html
