post_id,title,event_num,match_text,snippet,type
10078,>>> Still ALIVE,4,#4,...e which possible promotional poster becomes the official DODGEBALL 17 poster ... ***Please email your votes to Undertaker13yrs@aol.com*** #1. #2. #3. #4. #5. #6. #7. #8.,missing_event
103856,"Somewhere, A Clock Is TICKING",4,DODGEBALL 4,"... of the dodgeball community - and each other - all while another hungry combatant took a different, yet dangerous road to rid the plaguing shadow. At DODGEBALL 48, 16 year-old Kevin Adams vanquished the fierce Sara DeCuir to be crowned the 6th Captains Champion . In his first title defense, the young lad had t...",missing_event
104181,ONCE,4,DODGEBALL 4,"... tested on three separate occasions and each time, he was triumphant. This life-or-death stipulation may fuel his army's will to win. DODGEBALL 30 .. DODGEBALL 49 .. DODGEBALL 50 .. DODGEBALL 79 .. DODGEBALL LXXXI .. DODGEBALL 100 .. DODGEBALL C30 .. DODGEBALL 166 ________________________________________ _____...",missing_event
10499,>>> Your OFFICIAL Poster,4,#4,...~ ~ ~ ~ ~ ~ ~ ~ ~ The Full Results: #3 ... 38% (Design by Justin Pierce) #7 ... 19% (Design by Kathleen Reinhard) #6 ... 17% (Design by Ryan Letsche) #4 ... 9% (Design by Kathleen Reinhard) #1 ... 9% (Design by Diana DiBuccio) #2 ... 5% (Design by Kathleen Reinhard) #8 ... 3% (Design by Diana DiBuccio...,missing_event
106070,COURT Is Now In Session,4,DODGEBALL 4,"...l indeed split with one unfortunately leaving ""blinded by the white."" ashley hoppe : Debut DODGEBALL 154 on September 6, 2008 michael edwards : Debut DODGEBALL 47 on July 7, 2006 anniversary : August 8, 2008 spengeman . mullins The Spengeman-Mullins duo is the only one of the three created because of ECD . Bot...",missing_event
106956,"Thanksgiving ""FIGHT KNIGHT""",4,DODGEBALL 4,"...the ECDElite halls reopened its doors to induct two more iconic figures, and they are - - - Michael Edwards Born March 12, 1986 | Debut July 7, 2006 (DODGEBALL 47) | Right-handed ✔ Participation Percentage : 91 events = 70.5% ★ Notables : 2x season finale headliner; 2x mid-season main eventer; 2x Championship ...",missing_event
107047,The Winter BALL,4,#4,"...power for the night! This means dividing players into teams, selecting game-by-game rules - anything the champion's heart desires! Championship Chase #4 Within the two-team match-up will be the ultra-exciting individual Championship Chase ! THE REWARD: A special mystery prize is up for grabs and will ...",missing_event
107388,'11 BONNIE & CLYDE,4,#4,"...oice"" pregame which gave the champion booking power over ""WinterBall"" as well as become the inaugural Championship Chase champion. Championship Chase #4 : Winner ★ Justin Pierce → Title Holders: (5) Lauren Stopa (G1, G2, G3) , Justin Burdge (G3, G4) , Kevin Adams (G4, G5) , Brian Jones (G5) , and Just...",missing_event
107953,Spring STAMPEDE,4,DODGEBALL 4,"...dance : 11, comprised of 9 men and 2 women. New Dodgeballers : (1) Rob Blake → This was the third lowest attendance for any Tronolone Era event. Only DODGEBALL 45 and DODGEBALL 62 had fewer participants with 10 and 5, respectively. → This was the first time since DODGEBALL LX SEVEN there were less than 10 male...",missing_event
110843,Episode CLXXXIV: The FAME BALL,4,DODGEBALL 4,"... 3; Inducted into ECDElite Hall of Fame September 11, 2010. Edwards, Michael : Iconic crazy man, sole survivor of the dreaded 2006 summer. Debuted at DODGEBALL 47; Inducted into ECDElite Hall of Fame November 27, 2010. Fitzpatrick, Kevin : Feared powerhouse, The Writer's top combatant of the modern age. Debute...",missing_event
110956,The INTERGALACTIC CIVIL WAR,4,DODGEBALL 4,"... 3; Inducted into ECDElite Hall of Fame September 11, 2010. Edwards, Michael : Iconic crazy man, sole survivor of the dreaded 2006 summer. Debuted at DODGEBALL 47; Inducted into ECDElite Hall of Fame November 27, 2010. Fitzpatrick, Kevin : Feared powerhouse, The Writer's top combatant of the modern age. Debute...",missing_event
116306,Seven WONDERS of OUR WORLD,4,DODGEBALL 4,"...atrick, Ryan Letsche, John Tronolone, 6 - 4 The first-ever 3-on-3 in a five-hour brawl for all the marbles at the biggest and best of all-time. SIX ▬ DODGEBALL 41 | 05.27.2006 → Joe Kelly defeated Derek Carty, 6 - 5 A then record-setting attendance and the magical, multi-event reign of Kelly made this one unfo...",missing_event
116306,Seven WONDERS of OUR WORLD,4,DODGEBALL 4,"... DODGEBALL VII | ""A Huge Blue Light Filled The Sky ..."" | 10.08.2005 The inaugural, unforgettable ""Wet War"" and the mystery that surrounded it! SIX ▬ DODGEBALL 41 | ""Gonna Need Surgery So It Stays Put ..."" | 05.27.2006 Chris Burke's ugly injury set the tone for the weeks, months, and years to come; who would h...",missing_event
116896,... There's NOTHING You & I WON'T DO ...,4,#4,"...ll series score? 8-6, 7-2, 8-4 , 9-2 Question #3: Of the four, who has won more than one Rimshot Contest? Spengeman, D. Carty, Stopa, Decuir Question #4: Which player never won at a FAMILY AFFAIR event? Londono , Teitelbaum, Basista, Vetrano ✷ ""THE BIG ONE"" For A Reason It had to feel special before, ...",missing_event
18373,>>> Pick YOUR Poster !,4,#4,"... also be emailed to Undertaker13yrs@aol.com** _____________ #1>> *Various Players* #2>> *Lauren Winston/Backlash Mixture* #3>> *Cupid/Valentine Logo* #4>> *Various Players* #5>> *""Change"" Logo* #6>> *College Sylabus*",missing_event
18473,>>> CUPID is PISSED,4,#4,"... He won by a large margin with over half of the votes. Lenny Herrera finished in both second and also tied for third with both of his designs, #1 and #4, respectively. John Tronolone tied with Lenny for third place with #2. Final Results: #3 ... 53% (Design by Dan Spengeman) #1 ... 17% (Design by Lenn...",missing_event
18473,>>> CUPID is PISSED,4,#4,...r third place with #2. Final Results: #3 ... 53% (Design by Dan Spengeman) #1 ... 17% (Design by Lenny Herrera) #2 ... 12% (Design by John Tronolone) #4 ... 12% (Design by Lenny Herrera) #5 ... 3% (Design by Kathryn Nogueira) #6 ... 3% (Design by Diana DiBuccio) The poster has been chosen by you the p...,missing_event
20306,">>> ""The PIERCER"" vs. ""Quick SAND""",4,#4,"... to both competitors. ***Do not leave your answer in a comment. Simply contact John Tronolone with your vote.*** >>> #1 <<< >>> #2 <<< >>> #3 <<< >>> #4 <<< Remember, the winner will be revealed Saturday at DODGEBALL 29.",missing_event
20927,>>> A Family of ONE,4,#4,"...nity.webshots.com/user/undertaker15yrs . > Results of the ""Ultimate Poster Contest"" were revealed to the world: Justin Pierce defeated Dan Spengeman. #4 ... 48% (Created by Justin Pierce) [shown above] #1 ... 22% (Created by Justin Pierce) #3 ... 19% (Created by Dan Spengeman) #2 ... 11% (Created by D...",missing_event
25859,>>> A Super HERO,4,DODGEBALL 4,"...The following is a schedule of events for the upcoming month: Saturday, May 6th ~ DODGEBALL 38 Saturday, May 13th ~ DODGEBALL 39 Saturday, May 20th ~ DODGEBALL 40 Saturday, May 27th ~ DODGEBALL 41 As of the moment, no events have a scheduled venue. Those will be decided in the upcoming weeks. Start time for al...",missing_event
25859,>>> A Super HERO,4,DODGEBALL 4,"...nts for the upcoming month: Saturday, May 6th ~ DODGEBALL 38 Saturday, May 13th ~ DODGEBALL 39 Saturday, May 20th ~ DODGEBALL 40 Saturday, May 27th ~ DODGEBALL 41 As of the moment, no events have a scheduled venue. Those will be decided in the upcoming weeks. Start time for all events, unless specified, is 6:3...",missing_event
